MSK,Москва 
SPB,Санкт-Петербург 
NSK,Новосибирск 
EKB,Екатеринбург 
NNV,Нижний Новгород
KZN,Казань 
CHL,Челябинск 
OMS,Омск 
SAM,Самара 
RND,Ростов-на-Дону 
UFA,Уфа 
KRY,Красноярск 
PRM,Пермь 
VRN,Воронеж 
VGG,Волгоград 
SAR,Саратов 
KRD,Краснодар 
TOL,Тольятти 
TYM,Тюмень 
IZH,Ижевск 
BRN,Барнаул 
IRK,Иркутск 
ULY,Ульяновск 
KHB,Хабаровск 
VLD,Владивосток 
YAR,Ярославль 
MKH,Махачкала 
TOM,Томск 
ORB,Оренбург 
NKZ,Новокузнецк 
KEM,Кемерово 
RYZ,Рязань 
AST,Астрахань 
NCH,Набережные Челны
PNZ,Пенза 
LIP,Липецк 
KIR,Киров 
YUL,Тула 
CHB,Чебоксары 
KLG,Калининград 
KUR,Курск 
UUD,Улан-Удэ 
STA,Ставрополь 
MGG,Магнитогорск 
TVE,Тверь 
IVA,Иваново 
BRY,Брянск 
SVS,Севастополь 
SCH,Сочи 
BEL,Белгород 
NTG,Нижний Тагил
VLA,Владимир 
ARH,Архангельск 
KAL,Калуга 
SUR,Сургут 
CHI,Чита 
SMF,Симферополь 
SMO,Смоленск 
VOL,Волжский 
KRG,Курган 
OLR,Орёл 
CHR,Череповец 
VLG,Вологда 
VKZ,Владикавказ 
MUR,Мурманск 
SRN,Саранск 
YKT,Якутск 
TBV,Тамбов 
GRZ,Грозный 
SLT,Стерлитамак 
KST,Кострома 
PTR,Петрозаводск 
NVT,Нижневартовск 
YLA,Йошкар-Ола 
NVR,Новороссийск 
BAL,Балашиха 
KNA,Комсомольск-на-Амуре 
TGR,Таганрог 
STK,Сыктывкар 
NAL,Нальчик 
SHT,Шахты 
BRA,Братск 
NIZ,Нижнекамск 
DZE,Дзержинск 
ORS,Орск 
KHI,Химки 
ANG,Ангарск 
BLG,Благовещенск 
POD,Подольск 
VNG,Великий Новгород
ENG,Энгельс 
SOK,Старый Оскол
KOR,Королёв 
PSK,Псков 
BSK,Бийск 
PRK,Прокопьевск 
BLK,Балаково 
RYB,Рыбинск 
USS,Южно-Сахалинск 
ARM,Армавир 
LYB,Люберцы 
MYT,Мытищи 
SDV,Северодвинск 
PTK,Петропавловск-Камчатский 
ABK,Абакан 
NOR,Норильск 
SYZ,Сызрань 
NCK,Новочеркасск 
KMU,Каменск-Уральский 
ZLA,Златоуст 
VGD,Волгодонск 
USR,Уссурийск 
EST,Электросталь 
SAL,Салават 
NKH,Находка 
ALM,Альметьевск 
MIS,Миасс 
BER,Березники 
KRC,Керчь 
RUB,Рубцовск 
PTG,Пятигорск 
KOP,Копейск 
KOL,Коломна 
MKP,Майкоп 
ODC,Одинцово 
KOV,Ковров 
KGS,Красногорск 
HSV,Хасавюрт 
KIS,Кисловодск 
SER,Серпухов 
NMK,Новомосковск 
NCB,Новочебоксарск 
PVU,Первоуральск 
NKM,Нефтекамск 
NUG,Нефтеюганск 
CHE,Черкесск 
DER,Дербент 
OZU,Орехово-Зуево 
BTY,Батайск 
SHL,Щёлково 
NEV,Невинномысск 
DMI,Димитровград 
NUR,Новый Уренгой
KYZ,Кызыл 
KMS,Камышин 
OKT,Октябрьский 
DOM,Домодедово 
MRM,Муром 
OBN,Обнинск 
NAZ,Назрань 
NSH,Новошахтинск 
ZHU,Жуковский 
SEV,Северск 
PUS,Пушкино 
KSP,Каспийск 
NOY,Ноябрьск 
ACH,Ачинск 
EVP,Евпатория 
ELC,Елец 
RAM,Раменское 
SPS,Сергиев Посад
NKU,Новокуйбышевск 
ARZ,Арзамас 
ELS,Элиста 
ESS,Ессентуки 
ART,Артём 
BRD,Бердск 
NOG,Ногинск 
DGP,Долгопрудный 
, 
, 
, 
, 
, 
, 
, 
