AAE     Аннаба (Эл Меллах)
AAN     Эль Айн
AAR     Архус (Тирступ)
ABJ     Абиджан
ABZ     Абердин (Дайс)
ACA     Акапулько (Алварез)
ACC     Аккра
ACH     Альтенрейн
ADA     Адана (Шакирпаша)
ADB     Измир (Аднан)
ADD     Аддис Абеба
ADE     Аден
ADK     Остров Адак
ADL     Аделаида
ADQ     Кадьяк
ADW     Кемп Спрингс (Андрес АФБ)
AEP     Буэнос Айрес (Нью Берри)
AES     Олесунн (Вигра)
AFY     Афьон
AGB     Аугсбург (Мулхаузен)
AGP     Малага
AHO     Алжеро
AJA     Аяччо (Кампо Делль Оро)
AKF     Куфра
AKJ     Асахигава [ГРЖ]
AKL     Аускленд (Международный)
AKN     Кинг Салмон
ALB     Олбани
ALC     Аликанте
ALF     Альта
ALG     Алжир
ALP     Алеппо
ALY     Александрия
AMD     Ахмадабад
AMM     Амман (Квин Алия)
AMS     Амстердам (Скипхол)
ANA     Окинава (Наха)
ANC     Анкоридж (Международный)
ANE     Анже (Аврилл)
ANK     Анкара (Этимесгут)
ANR     Антверпен (Дерне)
AOI     Анкона (Фальконара)
AOJ     Аомори
APW     Апиа
AQJ     Акаба
ARN     Стокгольм (Арланда)
ARW     Арад
ASD     Андрос Таун
ASM     Асмэра
ASW     Асуан
ATH     Афины
ATL     Атланта (Вильям Б.Хатсфилд)
ATQ     Амритсар (Радж Санси)
AUH     Абу Даби (Международный)
AVB     Авиано
AXD     Александруполис (Димокритос)
AXT     Акита
AYT     Анталья
AZI     Абу Даби (Батин)
BAH     Бахрейн
BAJ     Бали
BAQ     Барранкилья
BAY     Бая-Маре
BBU     Бухарест (Банеас)
BCD     Баколод
BCN     Барселона
BDA     Бермудские Острова
BDL     Виндзор Локс (Бредли)
BDS     Бриндизи (Каселе)
BDU     Бардуфос
BED     Бедфорд (Ханском Филд)
BEG     Белград
BEN     Бенгази (Бенина)
BER     Берлин
BES     Брест (Гуипавас)
BET     Бетел
BEW     Бейра
BEX     Бенсон
BEY     Бейрут
BFE     Билефельд
BFI     Сиэттл (Боинг)
BFS     Белфаст (Международный)
BGF     Бангуи (М Поко)
BGI     Бриджтаун (Грантлей Адамс)
BGO     Берген (Флесланд)
BGR     Бангор (Международный)
BGW     Багдад (Ал Мутана)
BHX     Бирмингем
BIA     Бастия (Поретта)
BIK     Кефлавик
BIO     Бильбао
BJL     Банджул (Юндум)
BJM     Бужумбура
BKK     Бангкок
BKO     Бамако (Сеноу)
BLB     Бальбоа (Ховард)
BLE     Бурленге (Дала)
BLI     Беллингем
BLK     Блэкпул
BLL     Биллунд
BLQ     Болонья
BLR     Бангалоре
BMA     Стокгольм (Бромма)
BND     Бендер Аббас
BNE     Брисбан
BNJ     Бонн (Гангелар)
BOD     Бордо (Меригнац)
BOG     Богота (Эльдорадо)
BOJ     Бургас
BOM     Бомбей
BOO     Бодо
BOS     Бостон (Грел)
BOY     Бобо Диуласо
BQH     Биггин Хилл
BRE     Бремен
BRI     Бари
BRN     Берн (Белп)
BRQ     Брно (Турани)
BRS     Бристоль
BRU     Брюссель (Националь)
BRW     Барроу
BSB     Бразилия
BSL     Базель
BSR     Басра (Басра)
BTS     Братислава (Иванка)
BTU     Бинтулу
BTZ     Бурса
BUD     Будапешт (Ферихедь)
BUE     Буэнос Айрес
BUH     Бухарест
BWE     Брауншвейг
BWI     Вашингтон (Балтимор Вашингтон)
BWN     Бандар-Сери-Бегаван
BXO     Бисау (Освальдо Виеира)
BZV     Браззавиль (Мая-Мая)
BZZ     Брайс Нортон
CAG     Кальяри
CAI     Каир
CAN     Гуанчжоу
CAS     Касабланка (Анфа)
CBG     Кембридж
CBO     Котабато
CBR     Канберра
CCK     Кокосовые острова
CCS     Каракас
CCU     Калькутта
CDB     Колд Бей
CDG     Париж (Шарль Де Голль)
CDV     Кордова
CEQ     Канн (Мандейл)
CER     Шербур
CFE     Клермон-Ферран
CFR     Каен (Гарпиквайт)
CFU     Керкира (Иоанис-Каподистрис)
CGD     Чангд
CGK     Джакарта (Сукарно)
CGN     Кельн (Бонн)
CGQ     Чангчун (Ердаохези)
CHC     Крайстчерч
CHI     Чикаго (Чикаго ФСС)
CHQ     Ханья (Соуда)
CHR     Шатору (Дулс)
CIA     Рим (Чампино)
CJU     Чеджу
CKY     Конакри
CLJ     Клуж (Напока)
CLO     Кали
CMB     Коломбо (Катунаяке)
CMF     Шамбери (Айкс-Лес-Байнс)
CMN     Касабланка (Мохамед)
CMW     Камагуэй
CND     Констанца
CNL     Синдал
CNX     Чанг Май (Международный)
COO     Котону
CPH     Копенгаген (Каструп)
CRL     Шарлеруа
CSB     Карансебес
CSF     Крейл
CTA     Катания
CTS     Саппоро (Читоза)
CTU     Ченгду
CUN     Канкун
CVG     Ковингтон-Цинциннати (Сев.Кент)
CVT     Ковентри
CWL     Кардифф
CZL     Константина
DAC     Дакка
DAD     Дананг
DAM     Дамаск
DAR     Дар-Эс-Салам
DAU     Зарзаитин (Ин Аменас)
DBV     Дубровник
DCA     Вашингтон (Националь)
DEL     Дели
DET     Детройт (Детройт)
DFW     Даллас (Форт Ворт)
DGP     Даугавпилс
DHA     Дахран
DIJ     Дижон (Лонгвик)
DIY     Диярбакыр
DJE     Джерба (Зарзис)
DKR     Дакар
DLA     Дуала
DLC     Далян
DLE     Доль
DLG     Диллингем
DLM     Даламан
DNR     Динард (Плеуртуит)
DOH     Доха
DOL     Довилль
DOV     Довер-Чесуолд (Довер АФБ)
DRS     Дрезден
DRW     Дарвин
DTM     Дортмунд
DTT     Детройт
DTW     Детройт (Вайне)
DUB     Дублин
DUS     Дюссельдорф
DXB     Дубай
EBB     Энтеббе (Международный)
EBC     Шеври
EBM     Эль Борма
EBM     Мельсбрук
EBU     Сент-Этьен
EDA     Рейне-Майн
EDA     Риза-Гохлис
EDC     Саармунд
EDE     Нидерштеттен (Бад Мергентхейм)
EDF     Анкоридж (Елмендорф)
EDF     Аллендорф
EDH     Любек-Бланкенси
EDI     Эдинбург
EDL     Мюнстер (Телгте)
EDN     Эрбах
EDN     Лойткирх-Унтерзил
EDQ     Гассфурт
EDT     Щвабиш Халл
EDW     Гандеркезе
EDX     Рейне
EEP     Пярну
EFK     Круунупыы
EFL     Кефалиния (Аргостолон)
EFU     Утти
EFV     Виитасаари
EGD     Боскомб Даун
EGL     Фарнборо [ВОЕН]
EGN     Бруг
EGN     Рептон (Гемстон)
EGN     Вартон
EGN     Хаварден
EGT     Эксетер
EGT     Ливесден
EGU     Манстон [ВОЕН]
EGX     Виттеринг
EGY     Кранвелл
EHD     Арнем (Деелен)
EHS     Соестерберг
EHT     Тексел
EHV     Валкенбург
EIM     Касемент (Балдоннел)
EIN     Ейндхофен
EKP     Круза-Падборг
EKS     Самсе
EKV     Колдинг (Вамдруп)
EKV     Вагар
EKV     Ваерлоз
EKY     Ольборг
EMA     Ест Мидландс
EMB     Сан-Франциско (Эмбаркадеро)
ENA     Кенай
ENA     Андоя
ENC     Нанси (Ессей)
ENL     Листа
ENN     Банак
ENS     Енсхеде (Твенте)
ENS     Свалбард (Лонгир)
ENS     Свартнес [о.Варде]
ENT     Торп
ENT     Техел
EPB     Бяла-Подляска
EPJ     Еленя Гура
EPL     Эпиналь
EPM     Мелец
EPS     Свидник
ERC     Эрзинджан
ERF     Эрфурт
ERZ     Эрзурум
ESB     Анкара (Есенбога)
ESC     Норкопинг (Бравалла)
ESC     Упсала
ESD     Анджелхолм
ESG     Фалкопинг
ESI     Сатенас
ESK     Стокгольм (Скавста)
ESM     Еммабода
ESP     Гуннарн
ESP     Видсел
ESS     Ессен (Мулхейм)
ESS     Лудвика
ESS     Линкопинг (СААБ)
ETH     Елат (Ж.Хозман)
ETM     Еггебек
ETM     Нордхольз
ETN     Вюнсторф
ETS     Меммингем
ETS     Пфердсфельд
ETZ     Мец-Нанси-Лорран
EVE     Евенес
EVE     Елгава
EVV     Вентспилс
EVX     Евре (Фавилль)
EWR     Ньюарк (Межд)
EYS     Шяуляй
EZE     Буэнос Айрес (Пистарини)
FAB     Фарнборо
FAI     Фэрбенкс
FAO     Фаро
FBU     Осло (Форнебю)
FCA     Калиспелл
FCO     Рим (Фьюмичино)
FDH     Фридрихсхафен
FEZ     Фес (Сайсс)
FIH     Киншаса
FKS     Фукусима
FLR     Флоренция
FME     Сент-Дени (Гиллот)
FMO     Мюнстер (Оснабрук)
FNA     Фритаун
FNI     Ним
FNJ     Пхеньян (Сунан)
FRA     Франкфурт-На-Майне
FRL     Форли
FRO     Флоро (Флореландет)
FRW     Франкистоун
FUK     Фукуока
FZC     Банга
GAJ     Ямагата (Юнмахи)
GAL     Галена
GCI     Гурнсей
GDL     Гвадалахара (Мигуэль Хидалго)
GDN     Гданьск
GEN     Осло (Гардермоен)
GEO     Джорджтаун
GLA     Глазго (Глазго)
GLO     Глостер (Глостершир)
GMA     Агадир (Инезган)
GMF     Фес (Сефроу)
GNB     Гренобль (Сент Жойрс)
GOA     Генуя
GOI     Гоа
GOT     Гетеборг
GOZ     Горна-Оряховица
GRQ     Гронинген (Илде)
GRS     Гроссето (Баккарини)
GRU     Сан Паулу (Гуарулхос)
GRZ     Грац
GSE     Гетеборг (Саве)
GTW     Злин (Холесов)
GUA     Гватемала
GUM     Гуам (Агана Филд)
GVA     Женева
GVX     Гавле (Сандвикен)
GWT     Вестерланд
HAD     Халмстад
HAJ     Ганновер
HAK     Хайкоу
HAM     Гамбург
HAN     Ханой (Нойбай)
HAU     Хаугезунд
HAV     Гавана
HBT     Хафр Альбатин
