|city_clear|ru_names|ru_names2|ru_names3
0| (Красногорск)|Красногорск|Красногорск|Красногорск
1| (Москва)|Москва|Москва|Москва
2| (Россия)|Россия|Россия|Россия
3| (Ханты-Мансийский автономный округ)|Ханты-Мансийский автономный округ|Ханты-Мансийский автономный округ|Ханты-Мансийский автономный округ
4| Железнодорожный|Железнодорожный|Железнодорожный|Железнодорожный
5|-|-|-|-
6|. Пойковский (Ханты-Мансийский автономный округ)| Пойковский Ханты-Мансийский автономный округ| Пойковский Ханты-Мансийский автономный округ| Пойковский Ханты-Мансийский автономный округ
7|...|...||
8|....|....||
9|.......|.......||
10|........|........||
11|.Новгород|.Новгород|.Новгород|.Новгород
12|047169000 или 5939|047169000 или 5939| или | или 
13|1-е Новоспасское|1-е Новоспасское|1-е Новоспасское|1-е Новоспасское
14|111|111||
15|1111|1111||
16|112|112||
17|112422|112422||
18|140051, МО, Люберецкий район, Красково|140051 МО Люберецкий район Красково|   Красково|   Красково
19|140205,Pobeda street,16,39,city of Voscresensk,Moscow region|140205 улица Победа 1639 город Воскресенск Московская область| улица Победа  город Воскресенск | улица Победа  город Воскресенск 
20|143420 Московская область, Красногорский район, посёлок дачного хозяйства Архангельское, д.4,кв.2|143420 Московская область Красногорский район посёлок дачного хозяйства Архангельское д.4 кв.2|   посёлок дачного хозяйства Архангельское д.4 кв.2|   посёлок дачного хозяйства Архангельское д.4 кв.2
21|1Ёсаратов|1Ёсаратов|1Ёсаратов|1Ёсаратов
22|2-я Гавриловка|2-я Гавриловка|2-я Гавриловка|2-я Гавриловка
23|21000, China, Jiangsu province, Nanjing|21000 Китай провинция Цзянсу Нанкин| Китай провинция Цзянсу Нанкин| Китай провинция Цзянсу Нанкин
24|3 года с ТКС|3 года с ТКС|3 года с С|3 года с С
25|312|312||
26|5939 можно и так 047169000|5939 можно и так 047169000| можно и так | можно и так 
27|5939 он же 047169000|5939 он же 047169000| он же | он же 
28|636930, Томская обл., Первомайский р-н, с. Первомайское, ул. Советская, 11-4|636930 Томская обл. Первомайский р-н с. Первомайское ул. Советская 11-4| . Первомайский  с. Первомайское ул. Советская 11-4| . Первомайский  с. Первомайское ул. Советская 11-4
29|:erjdcrbq (Москва)| erjdcrbq Москва| erjdcrbq Москва| erjdcrbq Москва
30|:Жуковка| Жуковка| Жуковка| Жуковка
31|? видимо москва или новосибирск| видимо москва или новосибирск| видимо москва или новосибирск| видимо москва или новосибирск
32|Astana|Астана|Астана|Астана
33|Aрхангельск|Aрхангельск|Aрхангельск|Aрхангельск
34|Back in USSR...|Вернуться в СССР ...|Вернуться в  |Вернуться в  
35|Booischot, Belgium (Москва)|Booischot Бельгия Москва|Booischot Бельгия Москва|Booischot Бельгия Москва
36|Bremen (Москва)|Бремен Москва|Бремен Москва|Бремен Москва
37|Bruxelles|Брюссель|Брюссель|Брюссель
38|C-Пб|С-Пб|С-Пб|С-Пб
39|C-Петербург|С-Петербург|С-Петербург|С-Петербург
40|Cg,|Cg|Cg|Cg
41|Costa-Mesa|Коста-Меса|Коста-Меса|Коста-Меса
42|CАнкт=Петербург|САнкт  Петербург|нкт  Петербург|нкт  Петербург
43|CПб|CПб|CПб|CПб
44|Cамара|Cамара|Cамара|Cамара
45|Cанкт -Петербург|Cанкт -Петербург|Cанкт -Петербург|Cанкт -Петербург
46|Cанкт- Петербург|Cанкт- Петербург|Cанкт- Петербург|Cанкт- Петербург
47|Cанкт-Петербург|Cанкт-Петербург|Cанкт-Петербург|Cанкт-Петербург
48|Cанкт-Петербург (Ленинский пр)|Cанкт-Петербург Ленинский пр|Cанкт-Петербург Ленинский пр|Cанкт-Петербург Ленинский пр
49|Cаранск|Cаранск|Cаранск|Cаранск
50|Cерпухов|Cерпухов|Cерпухов|Cерпухов
