|set_ru_names|ru_names_town_list
0||[]
1|Армизонское|['Армизонское']
2|Нижний Тагил Екатеринбург|['Нижний Тагил', 'Екатеринбург']
3|До Пятигорск|['Пятигорск']
4|Жалоба На Альфа-Банк|[]
5|Москва.|['Москва']
6|Оха |['Оха']
7|Солнечногорск|['Солнечногорск']
8|Казань Москва|['Казань', 'Москва']
9|Парыж|['Карыж']
10|Каледина|[]
11|Знаменск|['Знаменск']
12|Нижний Новгород . |['Нижний Новгород']
13|Киселевск|['Киселевск']
14|Буденновск|['Буденновск']
15|Дубай|['Дубай']
16|П.Спирово|['Спирово']
17|Бугуруслан Т.К. От Имени Папы|['Бугуруслан', 'Сапы']
18|Санкт-Петербург Сертолово|['Санкт-Петербург', 'Сертолово']
19|П. Нежинский|['Нежинский']
20|Москва Отделение Жулебинское|['Москва', 'Отделение 5', 'Уинское']
21|Ямбург|['Ямбург']
22|Рузаевка-Мордовия|[]
23|Пермь. Петропавловская.|['Пермь', 'Петропавловская']
24|Москва Долгопрудный|['Москва', 'Долгопрудный']
25|Венгрия Но Пишу По Поводу Воронежа|['По', 'Воронеж']
26|Вычегодский|['Вычегодский']
27|Калининск|['Калининск']
28|Москва-Коломна|[]
29|Электрогорск|['Электрогорск']
30|Кудымкар|['Кудымкар']
31|Никогда Не Обслуживался|[]
32|Пенза Самара|['Пенза', 'Самара']
33|Уфа Стерлитамак|['Уфа', 'Стерлитамак']
34| Агинское |['Агинское']
35|Кириши |['Кириши']
36|Екатеринбург |['Екатеринбург']
37|Зимино |['Зимино']
38|Электрогорск |['Электрогорск']
39|Курск|['Курск']
40|Хотьково|['Хотьково']
41|Чернушка|['Чернушка']
42|Г. Волжский|['Волжский']
43|Березовка |['Березовка']
44|Москва Омск|['Москва', 'Омск']
45|Нижний Уфалей|['Нижний Уфалей', 'Балей']
46|Рнд|[]
47|Ё-Бург|['Дург']
48|Верхняя Пышма Ась|['Верхняя Пышма', 'Тюсь']
49|Южно - Сахалинск|['Южно-Сахалинск']
50|Орск |['Орск']
51| Новокубанск|['Новокубанск']
52|Малышева|['Малышева']
53|Мкр.Северо-Задонск Донской|['Донской']
54|Владивосток |['Владивосток']
55|Рязань|['Рязань']
56|По Лесные Поляны|['По', 'Лесные Поляны']
57|Муром|['Муром']
58|Развилка Москва|['Развилка', 'Москва']
59|Ступино Мо|['Ступино']
60|Нижняя Тура|['Нижняя Тура']
61|Узловая|['Узловая']
62| Канск|['Канск']
63|Г Москва|['Москва']
64|Урус-Мартан|['Урус-Мартан']
65|Шкотово|['Шкотово']
66|Мо Г Сергиев Посад|['Сергиев Посад']
67|Раанана Израиль Нижний Тагил|['Раанана', 'Нижний Тагил']
68| Чугуевка |['Чугуевка']
69|Ектб|[]
70|Долинск|['Долинск']
71|Канск|['Канск']
72|Мга|['Мга']
73|Щекино Тула|['Щекино', 'Тула']
74|Лихославль|['Лихославль']
75|С Екатериновка |['Екатериновка']
76|Новосибирск Москва|['Новосибирск', 'Москва']
77|Тимашевск Краснодарского Края|['Тимашевск', 'Краснодарское', 'Бурая']
78|П.Чунский|['Рунский']
79|Королев|['Королев']
80|Краснодар Краснодар|['Краснодар']
81|Угловское|['Угловское']
82|Крымск|['Крымск']
83|Новосибирск|['Новосибирск']
84|Чурапча|['Чурапча']
85|Сальск|['Сальск']
86| П. Любинский|['Любинский']
87|Москва Новомосковск |['Москва', 'Новомосковск']
88|Задонск|['Задонск']
89|Уфа Москва|['Уфа', 'Москва']
90|Чебоксары Москва |['Чебоксары', 'Москва']
91|, Г. Светлый|['Светлый']
92|Москва . 5|['Москва']
93|Сан Диего|['Тан']
94|Ст. Клетская|['Клетская']
95|Фа|[]
96|Дрезна|['Дрезна']
97|Иркутск-Москва|[]
98|Елизово|['Елизово']
99|Пос.Мостовской|['Мостовской']
100|Ельск|['Ельск']
101|Пок Горбунки|['Горбунки']
102|Нальчик Кбр.|['Нальчик']
103| Г. Белореченск|['Белореченск']
104|Йошкар-Ола|['Йошкар-Ола']
105|Суворов|['Суворов']
106|Новичиха|['Новичиха']
107|П.Белоомут Москва|['Белоомут', 'Москва']
108|Комсомольск -На- Амуре|['Комсомольск-на-Амуре']
109|Санкт-Петербург И Никель |['Санкт-Петербург', 'Никель']
110|Яранск |['Яранск']
111|Югорск|['Югорск']
112|Братск|['Братск']
113|Москва - Балашиха|[]
114|Анапа|['Анапа']
115|Ангарск |['Ангарск']
116|Онгудай|['Онгудай']
117|Солнечногорск Москва |['Солнечногорск', 'Москва']
118|Чунский|['Чунский']
119|Одинцово.|['Одинцово']
120|Посёлок Романовка|['Романовка']
121|Новая Москва Киевский|['Новая Москва', 'Киевский']
122|Боровиха|['Боровиха']
123|Галенки|['Галенки']
124|Приднестровье Москва|['Москва']
125|Буй|['Буй']
126|Железногорск - Илимский|['Железногорск-Илимский']
127|Москва Перово|['Москва', 'Перово']
128|Похвистнево Самара|['Похвистнево', 'Самара']
129|Москва До Мясницкий|['Москва']
130|Тольятти Санкт-Петербург|['Тольятти', 'Санкт-Петербург']
131|П.Сеймчан|['Сеймчан']
132|Санкт-Петербург Астрахань |['Санкт-Петербург', 'Астрахань']
133|Каменка|['Каменка']
134|Королев Саратов Москва|['Королев', 'Саратов', 'Москва']
135|Белгород-Новый Уренгой|['Уренгой']
136|Нижегородец|['Нижегородец']
137|Свияжск|['Свияжск']
138|Дорохово|['Дорохово']
139| . Г. Ипатово|['Ипатово']
140| Истра|['Истра']
141|Россия Санкт-Петербург Россия|['Санкт-Петербург']
142|Северо-Запад|[]
143|Кондопога Санкт-Петербург|['Кондопога', 'Санкт-Петербург']
144|Ст.Кумылженская|['Кумылженская']
145|Самара|['Самара']
146|Темрюк |['Темрюк']
147|Плесецк|['Плесецк']
148|Колпашево|['Колпашево']
149|До Реутовский|['Паутовский']
150|Воскресенск|['Воскресенск']
151|Удачный-Москва Якутия|[]
152|Москва Сейчас В Майами|['Москва', 'Майами']
153|7-Чехов|[]
154|Афипский|['Афипский']
155|Набережные Челны.|['Набережные Челны']
156|Учье|['Бычье']
157|Москва Доп Офис Тверской|['Москва', 'Чоп', 'Тверской']
158|Белокуриха|['Белокуриха']
159|Красногорск Мо|['Красногорский']
160|Екатеринбург Г|['Екатеринбург']
161|Солонешное|['Солонешное']
162|П.Лазаревское|['Лазаревское']
163|Москва Полтавка|['Москва', 'Полтавка']
164|Санкт -Петербург|['Санкт-Петербург']
165|Глушково |['Глушково']
166|Обручевка|['Обручевка']
167|Советск|['Советск']
168|Санкт-Петербург Г|['Санкт-Петербург']
169|Украина Москва |['Окраина', 'Москва']
170|Новочебоксарск Чувашская |['Новочебоксарск', 'Чувашская Сорма']
171|Бордо Франция|['Бордо']
172|Кукмор Казань|['Кукмор', 'Казань']
173|Островцы Рам. Моск. |['Островцы', 'Бам', 'Лоск']
174|Новосибирск А Конкретней Академгородок|['Новосибирск']
175|Шарья |['Шарья']
176| С.Пировское|['Пировское']
177|Актаныш|['Актаныш']
178|Абакан Москва|['Абакан', 'Москва']
179|Петров Вал Краснодар |['Петров Вал', 'Краснодар']
180|Москва Королёв Королев|['Москва', 'Королев']
181|Переславль-Залесский|['Переславль-Залесский']
182| Первомайское . |['Первомайское']
183|Кабанск|['Кабанск']
184|Урск|['Урск']
185|П. Орловский|['Орловский']
186| Зимино|['Зимино']
187|Россия Россия|[]
188|Красноусольск|[]
189|Тольятти Ульяновск|['Тольятти', 'Ульяновск']
190|Реж|['Реж']
191| Алматы|['Алматы']
192|Тулун|['Тулун']
193|Хмельницкий Москва|['Хмельницкий', 'Москва']
194|Краснокаменск|['Краснокаменск']
195|Ермишь|['Ермишь']
196|Агинское|['Агинское']
197| Орск|['Орск']
198|Губкин|['Губкин']
199|Ногинск-Москва Москва|['Москва']
200|Майский Кбр|['Майский Жук']
201|Орск|['Орск']
202|Пущино|['Пущино']
203|Южноуральск |['Южноуральск']
204|Жуковка |['Жуковка']
205| Оленегорск |['Оленегорск']
206|Бугульма |['Бугульма']
207|Мо Электросталь|['Электросталь']
208|Усть-Катав Г|['Усть-Катав, ж/д ст']
209|Башкирия|[]
210|Город|['Миргород']
211|Волоколамск|['Волоколамск']
212|Хабаровск|['Хабаровск']
213|Самара Чернореченская А Самара|['Самара', 'Чернореченская', 'Самара']
214|Исилькуль|['Исилькуль']
215| Хамилово|['Томилово']
216|Берлин|['Берлин']
217|Конаково|['Конаково']
218|Пос.Львовский|['Львовский']
219|Белгород Благовещенка |['Белгород', 'Благовещенка']
220|Ульяновка|['Ульяновка']
221|Троицкое|['Троицкое']
222|Шелехов|['Шелехов']
223|Вперед|['Вперед']
224|Воргашор|['Воргашор']
225|Вологда|['Вологда']
226|Краснодар Москва |['Краснодар', 'Москва']
227|Учалы Рб|['Учалы']
228| П. Линево|['Линево']
229|Уруссу|['Уруссу']
230|Южно-Сахалинск|['Южно-Сахалинск']
231|Онохой|['Онохой']
232|Луховицы|['Луховицы']
233|Семиозерье|['Семиозерье']
234| Хурба-2|[]
235|Коркино|['Коркино']
236|Чианг Май Таиланд Москва|['Май', 'Москва']
237|Иваново|['Иваново']
238|Ст Новоалексеевская|['Новоалексеевская']
239| Осинники|['Осинники']
240|Сосновское|['Сосновское']
241|Кокошкино Мо|['Кокошкино дп']
242|Бийск |['Бийск']
