|city_clear|ru_names
0| (Красногорск)|Красногорск
1| (Москва)|Москва
2| (Россия)|Россия
3| (Ханты-Мансийский автономный округ)|Ханты-Мансийский Автономный Округ
4| Железнодорожный|Железнодорожный
5|-|-
6|. Пойковский (Ханты-Мансийский автономный округ)|, Пойковский Ханты-Мансийский Автономный Округ
7|...|
8|....|
9|.......|
10|........|
11|.Новгород|.Новгород
12|047169000 или 5939|Или
13|1-е Новоспасское|1-Е Новоспасское
14|111|
15|1111|
16|112|
17|112422|
18|140051, МО, Люберецкий район, Красково|Мо Красково
19|140205,Pobeda street,16,39,city of Voscresensk,Moscow region|Победа, , Воскресенск, 
20|143420 Московская область, Красногорский район, посёлок дачного хозяйства Архангельское, д.4,кв.2|Посёлок Дачного Хозяйства Архангельское
21|1Ёсаратов|Саратов
22|2-я Гавриловка|2-Я Гавриловка
23|21000, China, Jiangsu province, Nanjing|Китай Джангсу Провинция Нанджин
24|3 года с ТКС|3 Года Тарко-Сале
25|312|
26|5939 можно и так 047169000|Можно И Так
27|5939 он же 047169000|Он Же
28|636930, Томская обл., Первомайский р-н, с. Первомайское, ул. Советская, 11-4| Первомайское 
29|:erjdcrbq (Москва)|Жуковский Москва
30|:Жуковка|Жуковка
31|? видимо москва или новосибирск|Видимо Москва Или Новосибирск
32|Astana|Астана
33|Aрхангельск|Архангельск
34|Back in USSR...|Назад В Ссср
35|Booischot, Belgium (Москва)|Буишот Бельгия Москва
36|Bremen (Москва)|Bremen Москва
37|Bruxelles|Bruxelles
38|C-Пб|С-Пб
39|C-Петербург|С-Петербург
40|Cg,|Cg
41|Costa-Mesa|Коста-Mesa
42|CАнкт=Петербург|Санкт Петербург
43|CПб|Спб
44|Cамара|Cамара
45|Cанкт -Петербург|Санкт -Петербург
46|Cанкт- Петербург|Санкт- Петербург
47|Cанкт-Петербург|Санкт-Петербург
48|Cанкт-Петербург (Ленинский пр)|Санкт-Петербург 
49|Cаранск|Саранск
50|Cерпухов|Серпухов
51|Cимферополь|Симферополь
52|Cочи|Cочи
53|Cпб|Спб
54|Cургут|Сургут
55|Default|Дефолт
56|Djkujuhfl|Волгоград
57|Dmitrov|Дмитров
58|Ghent, Belgium|Гент Бельгия
59|Goa, Индия|Гоа Индия
60|Ho Chi Minh City|Хошимин
61|Indonesia|Индонезия
62|Internet|Интернет
63|Jersey City|Джерси-Сити
64|KZN-MSK-DXB|Казань -Москва - Дубай
65|Kazan|Казань
66|Khabarovsk|Хабаровск
67|Khimki|Химки
68|Klaukkala|Klaukkala
69|Krasnoyarsk|Красноярск
70|Krasnoyarsk (Санкт-Петербург)|Красноярск Санкт-Петербург
71|Kurgan|Курган
72|Kursk|Курской
73|London|Лондон
74|Louisville|Louisville
75|MOSCOW|Москва
76|MOSKVA|Москва
77|MSK|Ммс
78|Miami Beach|Пляж Маями
79|Miesau|Miesau
80|Mocква|Moc
81|Moscow|Москва
82|Moscow -- New York|Москва - Нью-Йорк
83|Moscow, Russia|Москва, Россия
84|Moscow-city|Москва Сити
85|Moskow|Москва
86|Moskva|Москва
87|Mscow|Москва
88|Murmansk|Мурманск
89|Mосква|Москва
90|N-ск|Н-Ск
91|N.Novgorod|Н.Нovgorod
92|Naberezhnye Chelny|Набережные Челны
93|New York|Нью-Йорк
94|Niznevartovsk|Нижневартовск
95|Novosibirsk|Новосибирск
96|Omsk|Омск
