;Factor_1;Factor_2;Factor_3;Factor_6;pH;sulphates;white
0;6.262200000000001;0.6597360000000001;2939.0592000000006;9.443000000000001;3.3;0.49;1
1;8.06031;0.5432000000000001;19980.6129;10.05051;3.26;0.44;1
2;7.1683200000000005;0.7939968;73980.04920000001;9.856440000000001;3.19;0.4;1
3;7.1683200000000005;0.7939968;73980.04920000001;9.856440000000001;3.19;0.4;1
4;8.06031;0.5432000000000001;19980.6129;10.05051;3.26;0.44;1
5;6.16838;0.313344;28414.344;9.55104;3.18;0.47;1
6;6.262200000000001;0.6597360000000001;2939.0592000000006;9.443000000000001;3.3;0.49;1
7;8.04978;0.5369496000000001;5384.4084;10.9318;3.22;0.45;1
8;8.02548;0.23014530000000002;995.60538;11.8896;2.99;0.56;1
9;8.55442;0.35098000000000007;7741.352220000001;9.64859;3.14;0.53;1
10;7.8368;0.19979999999999998;1428.48;10.713600000000001;3.18;0.63;1
11;6.541919999999999;0.40268800000000005;10205.395199999999;12.29088;3.54;0.52;1
12;8.30166;1.7915519999999996;135778.1502;9.701939999999999;2.98;0.67;1
13;6.543239999999999;0.23152640000000005;4663.5455999999995;11.30196;3.25;0.55;1
14;6.25464;0.0874368;3243.4776;9.53088;3.24;0.36;1
15;7.33858;0.8058204;3171.1590900000006;11.20621;3.12;0.53;1
16;6.470750000000001;0.25397680000000006;33762.3825;9.45725;3.22;0.5;1
17;6.13304;0.68904;2581.812;12.661760000000001;3.33;0.39;1
18;6.34368;0.4565928;5570.74224;10.9032;3.17;0.35;1
19;6.7524;0.6527976;8443.876199999999;10.4265;3.47;0.48;1
20;7.5521199999999995;1.1661216000000003;6260.31;9.24141;3.05;0.51;1
21;6.567659999999999;0.8174088000000002;2939.12736;9.951;3.42;0.47;1
22;6.968500000000001;0.9016000000000001;122924.34000000001;10.353200000000001;3.25;0.5;1
23;6.8517;0.6377280000000001;5074.23;9.93;3.45;0.44;1
24;6.9727;0.7852572000000001;39101.307839999994;10.45905;3.38;0.53;1
25;7.33636;0.8040383999999999;2447.1717600000006;11.50024;3.19;0.49;1
26;7.13232;0.4333824;8356.7016;12.18438;3.1;0.71;1
27;8.4779;0.5848128;29459.2064;9.974;3.2;0.53;1
28;8.24522;0.09396240000000002;359.51146;10.132679999999999;3.47;0.4;1
29;7.340800000000001;0.44999999999999996;6304.16;10.713600000000001;3.19;0.44;1
30;5.777959999999999;0.42530400000000007;58649.38222;10.16124;3.37;0.37;1
31;7.23065;1.184736;4349.38455;12.678400000000002;3.19;0.42;1
32;6.4571;0.6816303;19982.240999999998;9.934;3.24;0.35;1
33;6.934200000000001;0.7723584000000001;6233.64768;11.09472;3.13;0.28;1
34;7.29927;0.7949448;120342.714525;8.59914;3.21;0.36;1
35;7.29927;0.7949448;120342.714525;8.59914;3.21;0.36;1
36;6.65779;2.4376871999999996;24728.2245;9.34078;3.11;0.36;1
37;6.65779;2.5422696;28503.19143;9.34078;3.1;0.34;1
38;6.9677999999999995;0.8898240000000002;32999.5008;9.75492;3.13;0.46;1
39;6.556439999999999;0.5614272;6976.052159999999;9.437299999999999;3.22;0.56;1
40;6.65578;0.552552;7067.842319999999;9.437299999999999;3.24;0.56;1
41;7.34894;0.5404787999999999;8823.09764;9.931;3.16;0.53;1
42;6.162800000000001;1.5184260000000003;56760.58080000002;9.741200000000001;3.27;0.52;1
43;6.16218;1.5711300000000001;56125.135440000005;9.74022;3.25;0.52;1
44;6.9677999999999995;0.8898240000000002;32999.5008;9.75492;3.13;0.46;1
45;6.8655;0.668325;23880.0;9.751000000000001;3.36;0.48;1
46;7.14024;0.6317614;8509.579360000002;11.60289;3.35;0.44;1
47;6.543239999999999;0.6113200000000001;5273.85144;10.9054;3.34;0.58;1
48;6.1442000000000005;0.2467872;1877.1522;10.8019;3.32;0.46;1
49;6.34304;0.30618;4174.5132;10.80299;3.31;0.35;1
50;6.83652;0.6517875;7134.453560000001;10.8988;3.13;0.52;1
51;7.17264;0.6539526;93427.52118000001;9.563519999999999;3.09;0.5;1
52;5.9832;0.3485664;90884.808;8.87508;3.3;0.36;1
53;6.55446;0.19562400000000002;8908.106999999998;10.12962;3.11;0.38;1
54;7.34524;0.30369599999999997;5817.430079999999;9.826740000000001;3.36;0.34;1
55;6.76668;0.5974848;17992.4031;8.55786;3.03;0.46;1
56;5.9832;0.3485664;90884.808;8.87508;3.3;0.36;1
57;6.937;0.1738765;2798.2867;10.4055;3.02;0.34;1
58;6.55446;0.19562400000000002;8908.106999999998;10.12962;3.11;0.38;1
59;7.1474400000000005;0.3004128;5256.14796;10.224810000000002;3.15;0.46;1
60;6.159079999999999;0.08063999999999999;4148.4384;9.03994;3.22;0.54;1
61;6.33792;0.309504;21219.35616;12.47778;3.22;0.49;1
62;6.6464;0.23185499999999998;16777.4976;9.7216;3.14;0.42;1
63;6.65042;0.31486080000000005;6003.2448;10.62082;3.33;0.64;1
64;7.37188;0.3654;22185.8721;9.463899999999999;3.13;0.35;1
65;6.17272;1.5863904;90951.64416;8.9604;3.1;0.51;1
66;6.77144;1.0038465;55170.85509;9.4601;3.32;0.6;1
67;5.9784;0.9573228000000003;29801.128319999993;9.963999999999999;3.69;0.71;1
68;8.54926;0.41135040000000006;644.1768;9.04631;2.95;0.49;1
69;6.65042;0.31486080000000005;6003.2448;10.62082;3.33;0.64;1
70;7.37188;0.3654;22185.8721;9.463899999999999;3.13;0.35;1
71;7.0275799999999995;0.24241679999999996;3737.2868399999998;12.570459999999999;3.26;0.37;1
72;6.9384;0.31530240000000004;1778.2128;11.8944;3.31;0.65;1
73;7.3711400000000005;0.355968;23474.49104;9.26373;2.94;0.56;1
74;6.665830000000001;0.9525600000000002;11846.274300000001;8.9541;3.27;0.37;1
75;6.75172;0.4120644;5387.87256;10.52474;3.39;0.77;1
76;7.08935;0.5644;135252.81600000002;9.1862;3.21;0.6;1
77;7.06166;0.7025760000000001;46764.898479999996;9.946;3.17;0.42;1
78;7.27518;0.6421140000000001;71048.41127999999;9.4677;3.33;0.46;1
