ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
1	16:02:27:982	skinnylinny	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Hello Chameleon	 	 
2	16:03:17:934	skinnylinny	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Hello Nancy	 	 
3	16:03:28:162	Nancy	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Hi	 	 
4	16:03:37:821	Chameleon	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Hi Nancy, Hi Skinnylinny	 	 
5	16:03:52:090	Nancy	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Hi Chameleon	 	 
5.1	16:04:10:825	Markus	 	 	OK, you're ready to go. You'll be only 3 in this game.	 	 
6	16:04:20:847	skinnylinny	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Ahh ok	 	 
7	16:04:36:591	Server	 		skinnylinny built a settlement.	 	 
8	16:04:48:359	Server	 		skinnylinny built a road.	 	 
9	16:05:32:937	Server	 		Chameleon built a settlement.	 	 
10	16:05:50:841	Server	 		Chameleon built a road.	 	 
11	16:06:28:947	Server	 		Nancy built a settlement.	 	 
12	16:06:35:621	Server	 		Nancy built a road.	 	 
13	16:06:51:035	Server	 		Nancy built a settlement.	 	 
14	16:06:57:476	Server	 		Nancy built a road.	 	 
15	16:08:00:430	Server	 		Chameleon built a settlement.	 	 
16	16:08:06:926	Server	 		Chameleon built a road.	 	 
17	16:08:29:971	Server	 		skinnylinny built a settlement.	 	 
18	16:08:55:867	Server	 		skinnylinny built a road.	 	 
19	16:09:00:872	Server	 		skinnylinny rolled a 4 and a 3.	 	 
20	16:09:37:454	Server	 		Chameleon rolled a 1 and a 2.	 	 
21	16:09:37:456	Server	 		skinnylinny gets 1 wheat.	 	 
