ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
0.1	09:56:25:286	Markus	 	 	Great, waiting for one more person.	 	 
0.2	09:56:40:606	Markus	 	 	One participant can't make it; so you'll be only 3.	 	 
0.3	10:02:37:187	Markus	 	 	Hi, great.& Go ahead.	 	 
0.4	10:02:44:195	Markus	 	 	You'll only be three ...	 	 
1	10:03:37:137	Server	 		mmatrtajova built a settlement.	 	 
2	10:03:42:136	Server	 		mmatrtajova built a road.	 	 
3	10:03:47:798	Server	 		Ash built a settlement.	 	 
4	10:03:57:247	Server	 		Ash built a road.	 	 
5	10:04:08:860	Server	 		J built a settlement.	 	 
6	10:04:18:252	Server	 		J built a road.	 	 
7	10:04:26:420	Server	 		J built a settlement.	 	 
8	10:04:31:260	Server	 		J built a road.	 	 
9	10:04:43:199	Server	 		Ash built a settlement.	 	 
10	10:04:50:573	Server	 		Ash built a road.	 	 
11	10:05:21:501	Server	 		mmatrtajova built a settlement.	 	 
12	10:05:25:196	Server	 		mmatrtajova built a road.	 	 
13	10:05:31:201	Server	 		mmatrtajova rolled a 2 and a 2.	 	 
14	10:05:31:203	Server	 		Ash gets 1 ore. J gets 1 wood.	 	 
15	10:06:12:658	Server	 		Ash rolled a 2 and a 5.	 	 
16	10:08:18:145	Ash	clay=1; ore=2; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[137,101]; settlements=[154,101]	sorry& i have click one& but it hasnt moved on	 	 
17	10:08:40:629	mmatrtajova	clay=0; ore=1; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134]; settlements=[120,150]	click again&:)	 	 
18	10:08:51:285	Ash	clay=1; ore=2; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[137,101]; settlements=[154,101]	nothing	 	 
19	10:09:10:255	mmatrtajova	clay=0; ore=1; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134]; settlements=[120,150]	well then& choose a number that actually is on the map!	 	 
20	10:09:17:417	mmatrtajova	clay=0; ore=1; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134]; settlements=[120,150]	:)	 	 
21	10:09:34:441	mmatrtajova	clay=0; ore=1; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134]; settlements=[120,150]	you can never throw a 1 with 2 dice	 	 
22	10:09:43:011	Ash	clay=2; ore=2; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[137,101]; settlements=[154,101]	oh& i see sotty	 	 
23	10:09:47:259	Ash	clay=2; ore=2; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[137,101]; settlements=[154,101]	*sorry	 	 
24	10:09:55:258	Ash	clay=2; ore=2; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[137,101]; settlements=[154,101]	i am new at this	 	 
25	10:10:04:953	Server	 		J rolled a 6 and a 5.	 	 
26	10:10:04:955	Server	 		mmatrtajova gets 1 ore. J gets 2 clay.	 	 
27	10:10:35:984	mmatrtajova	clay=0; ore=2; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134]; settlements=[120,150]	thats okay,& i have only done it once as well	 	 
28	10:10:45:382	Ash	clay=2; ore=2; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[137,101]; settlements=[154,101]	cool	 	 
29	10:11:31:713	J	clay=3; ore=0; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=0	roads=[70,69]; settlements=[71,69]	what do i do now?	 	 
30	10:11:43:351	mmatrtajova	clay=0; ore=2; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134]; settlements=[120,150]	well& build sts or put done	 	 
31	10:11:47:443	mmatrtajova	clay=0; ore=2; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134]; settlements=[120,150]	or trade	 	 
32	10:11:58:610	J	clay=3; ore=0; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=0	roads=[70,69]; settlements=[71,69]	won't let me build a settlement	 	 
33	10:12:11:341	mmatrtajova	clay=0; ore=2; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134]; settlements=[120,150]	because you dont have the resources	 	 
34	10:12:12:639	Server	 		mmatrtajova rolled a 4 and a 5.	 	 
35	10:12:12:640	Server	 		mmatrtajova gets 1 wheat.	 	 
36	10:12:16:425	mmatrtajova	clay=0; ore=2; sheep=1; wheat=2; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134]; settlements=[120,150]	probably	 	 
37	10:13:35:636	J	clay=3; ore=0; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=0	roads=[70,69]; settlements=[71,69]	cool	 	 
38	10:13:45:773	Server	 		mmatrtajova made an offer to trade 1 ore for 1 clay.	 	 
39	10:14:08:659	mmatrtajova	clay=0; ore=1; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=1	roads=[104,134]; settlements=[120,150]	J, give me one clay:)	 	 
40	10:14:21:370	Server	 		mmatrtajova traded 1 ore for 1 clay from J.	 	 
41	10:14:37:027	Server	 		mmatrtajova made an offer to trade 1 wheat for 1 wood.	 	 
42	10:14:49:562	Server	 		mmatrtajova traded 1 wheat for 1 wood from J.	 	 

43	10:15:10:983	Server	 		Ash rolled a 4 and a 6.	 	 
44	10:15:10:985	Server	 		mmatrtajova gets 1 ore. Ash gets 1 ore.	 	 
45	10:16:06:443	Server	 		Ash made an offer to trade 1 ore for 1 wood.	 	 
46	10:16:31:064	mmatrtajova	clay=1; ore=1; sheep=0; wheat=0; wood=1; unknown=0; knights=0; dev-cards=1	roads=[104,134]; settlements=[120,150]	how do i reject trade?	 	 
47	10:17:01:921	Ash	clay=2; ore=3; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[137,101]; settlements=[154,101]	i dont know& but j just did	 	 
48	10:17:14:726	mmatrtajova	clay=1; ore=1; sheep=0; wheat=0; wood=1; unknown=0; knights=0; dev-cards=1	roads=[104,134]; settlements=[120,150]	well how did you?	 	 
49	10:17:22:129	Server	 		Ash made an offer to trade 1 ore for 1 sheep.	 	 
50	10:17:27:879	mmatrtajova	clay=1; ore=1; sheep=0; wheat=0; wood=1; unknown=0; knights=0; dev-cards=1	roads=[104,134]; settlements=[120,150]	nice	 	 
51	10:17:30:297	J	clay=2; ore=1; sheep=0; wheat=1; wood=1; unknown=0; knights=0; dev-cards=0	roads=[70,69]; settlements=[71,69]	there's a button that says accept and one that said reject	 	 
52	10:17:45:256	Server	 		J rolled a 4 and a 3.	 	 
53	10:18:21:551	Server	 		mmatrtajova rolled a 1 and a 5.	 	 
54	10:18:21:553	Server	 		mmatrtajova gets 1 clay. J gets 1 clay.	 	 
55	10:19:10:075	Server	 		mmatrtajova built a road.	 	 
56	10:19:12:241	Server	 		mmatrtajova built a road.	 	 
57	10:19:26:876	Server	 		Ash rolled a 2 and a 4.	 	 
58	10:19:26:878	Server	 		mmatrtajova gets 1 clay. J gets 1 clay.	 	 
59	10:19:50:704	Server	 		Ash made an offer to trade 1 clay for 1 wood.	 	 
60	10:20:18:523	Ash	clay=2; ore=3; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[137,101]; settlements=[154,101]	is there anything else you would want for wood?	 	 
61	10:20:43:501	J	clay=4; ore=1; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[70,69]; settlements=[71,69]	can't you trade with the bank instead?	 	 
62	10:20:54:376	mmatrtajova	clay=1; ore=1; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134; 134,135; 135,136]; settlements=[120,150]	i have monopolized and used all the wood!	 	 
63	10:20:59:300	mmatrtajova	clay=1; ore=1; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134; 134,135; 135,136]; settlements=[120,150]	there is no wood!	 	 
64	10:21:04:103	Ash	clay=2; ore=3; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[137,101]; settlements=[154,101]	oh nightmare	 	 
65	10:21:40:091	Server	 		J rolled a 5 and a 2.	 	 
66	10:22:42:170	mmatrtajova	clay=1; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134; 134,135; 135,136]; settlements=[120,150]	you can trade with the bank...& the ratio is 4 of the same resources to 1 different	 	 
67	10:22:56:242	Ash	clay=2; ore=3; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[137,101]; settlements=[154,101]	yeah& i just dont have 4 of anything yet	 	 
68	10:23:05:976	mmatrtajova	clay=1; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134; 134,135; 135,136]; settlements=[120,150]	move on&:)	 	 
69	10:23:22:881	J	clay=4; ore=2; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[70,69]; settlements=[71,69]	oh yeah,& my bad	 	 
70	10:23:28:438	Ash	clay=2; ore=3; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[137,101]; settlements=[154,101]	is there a way you can see what resourses other people have?	 	 
71	10:23:30:221	Server	 		mmatrtajova rolled a 4 and a 6.	 	 
72	10:23:30:223	Server	 		mmatrtajova gets 1 ore. Ash gets 1 ore.	 	 
73	10:23:43:591	mmatrtajova	clay=1; ore=1; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134; 134,135; 135,136]; settlements=[120,150]	nope...	 	 
74	10:23:51:226	Ash	clay=2; ore=4; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[137,101]; settlements=[154,101]	thats annoying	 	 
75	10:23:52:058	Server	 		mmatrtajova made an offer to trade 1 ore for 1 wood.	 	 
76	10:23:56:658	J	clay=4; ore=2; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[70,69]; settlements=[71,69]	i don't have wood either	 	 
77	10:24:15:135	mmatrtajova	clay=1; ore=1; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134; 134,135; 135,136]; settlements=[120,150]	ok	 	 
78	10:24:17:506	J	clay=4; ore=2; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[70,69]; settlements=[71,69]	...or do i	 	 
79	10:24:18:354	J	clay=4; ore=2; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[70,69]; settlements=[71,69]	hahah	 	 

80	10:24:24:824	Server	 		Ash rolled a 2 and a 5.	 	 
81	10:25:20:243	J	clay=3; ore=2; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[70,69]; settlements=[71,69]	nice one	 	 
82	10:25:26:488	mmatrtajova	clay=1; ore=1; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134; 134,135; 135,136]; settlements=[120,150]	:)	 	 
83	10:25:38:863	Server	 		Ash traded 4 ore for 1 wood from the bank.	 	 
84	10:25:48:773	Server	 		Ash built a road.	 	 
85	10:25:58:544	Server	 		J rolled a 2 and a 2.	 	 
86	10:25:58:545	Server	 		Ash gets 1 ore. J gets 1 wood.	 	 
87	10:26:55:302	J	clay=3; ore=2; sheep=0; wheat=1; wood=1; unknown=0; knights=0; dev-cards=0	roads=[70,69]; settlements=[71,69]	why won't it let me build a road again?& i have the resources now	 	 
88	10:27:07:226	mmatrtajova	clay=1; ore=1; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134; 134,135; 135,136]; settlements=[120,150]	because you dont have clay?	 	 
89	10:27:13:078	J	clay=3; ore=2; sheep=0; wheat=1; wood=1; unknown=0; knights=0; dev-cards=0	roads=[70,69]; settlements=[71,69]	yeeep& i do	 	 
90	10:27:26:069	mmatrtajova	clay=1; ore=1; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134; 134,135; 135,136]; settlements=[120,150]	then i dont know	 	 
91	10:27:40:078	mmatrtajova	clay=1; ore=1; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134; 134,135; 135,136]; settlements=[120,150]	do you have wood?	 	 
92	10:27:40:288	Ash	clay=2; ore=1; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[137,101; 101,100]; settlements=[154,101]	oh weird& it should say buy at the bottom next to the road?	 	 
93	10:27:54:565	mmatrtajova	clay=1; ore=1; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134; 134,135; 135,136]; settlements=[120,150]	yes!	 	 
94	10:28:21:851	Server	 		J built a road.	 	 
95	10:28:25:672	J	clay=2; ore=2; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[70,69; 69,68]; settlements=[71,69]	aha!	 	 
96	10:28:29:627	Ash	clay=2; ore=1; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[137,101; 101,100]; settlements=[154,101]	yey	 	 

97	10:28:35:266	Server	 		mmatrtajova rolled a 4 and a 3.	 	 
98	10:28:39:656	J	clay=2; ore=2; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[70,69; 69,68]; settlements=[71,69]	im such a noob	 	 
99	10:28:46:106	Ash	clay=2; ore=1; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[137,101; 101,100]; settlements=[154,101]	me too& dont worry	 	 
100	10:28:58:952	J	clay=2; ore=2; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[70,69; 69,68]; settlements=[71,69]	:)	 	 
101	10:29:10:394	mmatrtajova	clay=1; ore=2; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,134; 134,135; 135,136]; settlements=[120,150]	nice... have any wood J?	 	 
102	10:29:18:361	J	clay=2; ore=1; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[70,69; 69,68]; settlements=[71,69]	nah& just used it on that road	 	 
