ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
1	20:36:11:552	Server	 		Kersti built a settlement.	 	 
2	20:36:24:962	Server	 		Kersti built a road.	 	 
3	20:36:47:620	Server	 		nelsen built a settlement.	 	 
4	20:36:59:548	Server	 		nelsen built a road.	 	 
5	20:37:11:258	Server	 		Tyrant Lord built a settlement.	 	 
6	20:37:26:192	Server	 		Tyrant Lord built a road.	 	 
7	20:39:08:968	Server	 		Agnes built a settlement.	 	 
8	20:39:14:496	Server	 		Agnes built a road.	 	 
9	20:39:40:438	Server	 		Agnes built a settlement.	 	 
10	20:39:41:806	Server	 		Agnes built a road.	 	 
11	20:40:20:186	Server	 		Tyrant Lord built a settlement.	 	 
12	20:40:23:389	Server	 		Tyrant Lord built a road.	 	 
13	20:40:59:146	Server	 		nelsen built a settlement.	 	 
14	20:41:05:066	Server	 		nelsen built a road.	 	 
15	20:42:03:963	Server	 		Kersti built a settlement.	 	 
16	20:42:46:006	Server	 		Kersti built a road.	 	 
17	20:42:50:347	Server	 		Kersti rolled a 6 and a 3.	 	 
18	20:42:50:349	Server	 		Kersti gets 1 ore. nelsen gets 1 wheat. Agnes gets 1 wheat.	 	 
19	20:43:40:877	Server	 		nelsen rolled a 4 and a 3.	 	 
20	20:44:19:248	Server	 		Tyrant Lord rolled a 4 and a 4.	 	 
21	20:44:19:249	Server	 		nelsen gets 1 wood. Tyrant Lord gets 1 wood. Agnes gets 1 ore.	 	 
22	20:44:45:434	Server	 		Tyrant Lord built a road.	 	 
23	20:44:56:999	Server	 		Agnes rolled a 4 and a 6.	 	 
24	20:44:57:000	Server	 		Kersti gets 1 wood. Tyrant Lord gets 1 sheep. Agnes gets 1 sheep, 1 wood.	 	 
25	20:45:35:301	Agnes	clay=0; ore=1; sheep=2; wheat=2; wood=2; unknown=0; knights=0; dev-cards=0	roads=[171,118]; settlements=[171,135]	I could use some brick	 	 
26	20:45:44:701	Agnes	clay=0; ore=1; sheep=2; wheat=2; wood=2; unknown=0; knights=0; dev-cards=0	roads=[171,118]; settlements=[171,135]	anybody want sheep?	 	 
27	20:45:56:540	Kersti	clay=0; ore=0; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=1	roads=[122,103]; settlements=[139,103]	No brick here	 	 
28	20:46:08:585	Tyrant Lord	clay=0; ore=1; sheep=1; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[84,88; 88,72]; settlements=[101,105]	none either	 	 
29	20:46:12:569	Agnes	clay=0; ore=1; sheep=2; wheat=2; wood=2; unknown=0; knights=0; dev-cards=0	roads=[171,118]; settlements=[171,135]	<sigh>	 	 
30	20:46:13:244	nelsen	clay=0; ore=0; sheep=1; wheat=1; wood=3; unknown=0; knights=0; dev-cards=0	roads=[168,99]; settlements=[184,99]	nope, me neither	 	 
31	20:46:43:820	Server	 		Kersti rolled a 2 and a 3.	 	 
32	20:46:43:821	Server	 		Kersti gets 1 clay. nelsen gets 1 wood. Tyrant Lord gets 1 clay.	 	 
33	20:46:59:156	Server	 		Kersti built a road.	 	 
34	20:47:11:822	Server	 		nelsen rolled a 3 and a 4.	 	 
35	20:47:51:419	Server	 		Tyrant Lord rolled a 3 and a 5.	 	 
36	20:47:51:421	Server	 		nelsen gets 1 wood. Tyrant Lord gets 1 wood. Agnes gets 1 ore.	 	 
37	20:48:12:866	Server	 		Tyrant Lord built a road.	 	 
38	20:48:32:235	Server	 		Agnes rolled a 5 and a 6.	 	 
39	20:48:32:237	Server	 		Kersti gets 1 wood. Agnes gets 1 wood.	 	 
40	20:49:12:389	Agnes	clay=0; ore=2; sheep=2; wheat=2; wood=3; unknown=0; knights=0; dev-cards=0	roads=[171,118]; settlements=[171,135]	Anybody have spare ore?	 	 
41	20:49:17:466	Kersti	clay=0; ore=0; sheep=0; wheat=0; wood=2; unknown=0; knights=1; dev-cards=0	roads=[122,103; 103,120]; settlements=[139,103]	nope	 	 
42	20:49:18:151	Agnes	clay=0; ore=2; sheep=2; wheat=2; wood=3; unknown=0; knights=0; dev-cards=0	roads=[171,118]; settlements=[171,135]	I have wood	 	 
43	20:49:23:776	nelsen	clay=0; ore=0; sheep=1; wheat=1; wood=5; unknown=0; knights=0; dev-cards=0	roads=[168,99]; settlements=[184,99]	nope	 	 
44	20:50:12:498	Server	 		Kersti rolled a 1 and a 3.	 	 
45	20:50:12:499	Server	 		Agnes gets 1 clay.	 	 
46	20:50:30:920	Kersti	clay=0; ore=0; sheep=0; wheat=0; wood=2; unknown=0; knights=1; dev-cards=0	roads=[122,103; 103,120]; settlements=[139,103]	Agnes, would you swap clay for wood?	 	 
47	20:50:55:270	Agnes	clay=1; ore=0; sheep=0; wheat=0; wood=3; unknown=0; knights=0; dev-cards=2	roads=[171,118]; settlements=[171,135]	errr….which way around?	 	 
48	20:51:04:417	Kersti	clay=0; ore=0; sheep=0; wheat=0; wood=2; unknown=0; knights=1; dev-cards=0	roads=[122,103; 103,120]; settlements=[139,103]	I give you wood, you give me clay?	 	 
49	20:51:04:821	Agnes	clay=1; ore=0; sheep=0; wheat=0; wood=3; unknown=0; knights=0; dev-cards=2	roads=[171,118]; settlements=[171,135]	I need clay	 	 
50	20:51:19:455	Server	 		nelsen rolled a 6 and a 6.	 	 
51	20:51:19:456	Server	 		Tyrant Lord gets 1 ore.	 	 
52	20:52:05:022	nelsen	clay=0; ore=0; sheep=1; wheat=1; wood=5; unknown=0; knights=0; dev-cards=0	roads=[168,99]; settlements=[184,99]	If anyone still has clay, I'll trade a couple of wood for it	 	 
53	20:52:27:270	Agnes	clay=1; ore=0; sheep=0; wheat=0; wood=3; unknown=0; knights=0; dev-cards=2	roads=[171,118]; settlements=[171,135]	sorry	 	 
54	20:52:46:986	Server	 		nelsen traded 4 wood for 1 clay from the bank.	 	 
55	20:52:53:915	Server	 		nelsen built a road.	 	 
56	20:52:59:025	Server	 		Tyrant Lord rolled a 1 and a 5.	 	 
57	20:52:59:026	Server	 		nelsen gets 1 clay.	 	 
58	20:53:20:651	Server	 		Agnes rolled a 1 and a 6.	 	 
