ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
1	19:59:27:971	raefbrisbin	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		good luck!	 	 
2	19:59:34:211	raefbrisbin	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		i hate you jade	 	 
3	19:59:40:642	zorburt	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		i started the game last time& so someoen else ewant to click start game?	 	 
4	19:59:48:982	zorburt	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		i'm going to eat you alive raef.	 	 
5	20:00:01:896	raefbrisbin	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		yikes	 	 
6	20:00:13:265	raefbrisbin	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		rock mountain	 	 
7	20:02:06:695	Server	 		Ghettoette built a settlement.	 	 
8	20:02:19:919	Server	 		Ghettoette built a road.	 	 
9	20:02:22:563	Server	 		zorburt built a settlement.	 	 
10	20:02:23:371	Server	 		zorburt built a road.	 	 
11	20:03:50:167	catanstrophe	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		this board is rough	 	 
12	20:03:59:066	zorburt	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		yeah.	 	 
13	20:04:13:325	Server	 		raefbrisbin built a settlement.	 	 
14	20:04:14:673	Server	 		raefbrisbin built a road.	 	 
15	20:04:19:656	catanstrophe	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		that 9-5-10 that ghettoette took is by far the best spot	 	 
16	20:04:30:217	raefbrisbin	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		no doubt	 	 
17	20:04:30:501	Server	 		catanstrophe built a settlement.	 	 
18	20:04:38:562	Server	 		catanstrophe built a road.	 	 
19	20:04:38:694	Ghettoette	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		here's hoping!	 	 
20	20:05:05:237	catanstrophe	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		oh whoops& i forgot i get to go twice	 	 
21	20:05:07:530	catanstrophe	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		darn.	 	 
22	20:05:44:009	Server	 		catanstrophe built a settlement.	 	 
23	20:05:58:367	Server	 		catanstrophe built a road.	 	 
24	20:06:01:707	Server	 		raefbrisbin built a settlement.	 	 
25	20:06:02:831	Server	 		raefbrisbin built a road.	 	 
26	20:06:22:141	Server	 		zorburt built a settlement.	 	 
27	20:06:31:440	Server	 		zorburt built a road.	 	 
28	20:06:43:633	Server	 		Ghettoette built a settlement.	 	 
29	20:06:44:708	Server	 		Ghettoette built a road.	 	 
30	20:06:48:298	Server	 		Ghettoette rolled a 3 and a 6.	 	 
31	20:06:48:299	Server	 		Ghettoette gets 1 wood. zorburt gets 1 wood. raefbrisbin gets 1 wood. catanstrophe gets 1 wood.	 	 
32	20:06:59:261	Server	 		zorburt rolled a 1 and a 6.	 	 
33	20:07:50:661	raefbrisbin	clay=0; ore=1; sheep=0; wheat=1; wood=1; unknown=0; knights=0; dev-cards=0	roads=[84,168]; settlements=[84,169]	wow, ok	 	 
34	20:07:57:578	Server	 		zorburt built a road.	 	 
35	20:08:16:386	Server	 		raefbrisbin rolled a 5 and a 6.	 	 
36	20:08:16:388	Server	 		catanstrophe gets 2 ore.	 	 
37	20:08:39:383	Server	 		catanstrophe rolled a 2 and a 3.	 	 
38	20:08:39:384	Server	 		Ghettoette gets 1 ore, 1 sheep. catanstrophe gets 1 ore.	 	 
39	20:08:42:995	zorburt	clay=0; ore=1; sheep=1; wheat=0; wood=1; unknown=0; knights=0; dev-cards=0	roads=[166,170; 170,165]; settlements=[167,171]	i knew you had what i wanted :p	 	 
40	20:09:12:595	catanstrophe	clay=0; ore=5; sheep=1; wheat=0; wood=1; unknown=0; knights=0; dev-cards=0	roads=[134,103]; settlements=[135,120]	anyone have wheat	 	 
41	20:09:17:772	zorburt	clay=0; ore=1; sheep=1; wheat=0; wood=1; unknown=0; knights=0; dev-cards=0	roads=[166,170; 170,165]; settlements=[167,171]	no	 	 
42	20:09:27:655	Ghettoette	clay=0; ore=1; sheep=3; wheat=1; wood=1; unknown=0; knights=0; dev-cards=0	roads=[138,99]; settlements=[139,116]	sorry	 	 
43	20:09:31:296	raefbrisbin	clay=0; ore=1; sheep=0; wheat=1; wood=1; unknown=0; knights=0; dev-cards=0	roads=[84,168]; settlements=[84,169]	sorry	 	 
44	20:09:51:503	catanstrophe	clay=0; ore=5; sheep=1; wheat=0; wood=1; unknown=0; knights=0; dev-cards=0	roads=[134,103]; settlements=[135,120]	brick?	 	 
45	20:09:58:543	raefbrisbin	clay=0; ore=1; sheep=0; wheat=1; wood=1; unknown=0; knights=0; dev-cards=0	roads=[84,168]; settlements=[84,169]	nope	 	 
46	20:09:59:870	Ghettoette	clay=0; ore=1; sheep=3; wheat=1; wood=1; unknown=0; knights=0; dev-cards=0	roads=[138,99]; settlements=[139,116]	nope	 	 
