ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
1	17:05:19:098	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		hi duncan!	 	 
2	17:06:46:887	dmm	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		hello!	 	 
3	17:09:26:474	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		how's things?	 	 
4	17:09:46:250	dmm	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		not bad	 	 
5	17:09:51:130	dmm	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		i'm hoping i'll do a bit better this time!	 	 
6	17:10:42:415	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		good luck :)	 	 
7	17:10:53:979	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		we'll see how the board treats us& when innis and LJ arrive :D	 	 
8	17:15:41:816	ljaybrad123	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		evening	 	 
9	17:16:35:977	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		hey LJ	 	 
10	17:16:42:065	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		hows you?	 	 
11	17:17:09:951	ljaybrad123	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		not too bad thanks,& yourself	 	 
12	17:18:33:369	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		pretty good	 	 
13	17:18:39:656	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		got a board game evening to go to after ;)	 	 
14	17:18:43:823	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		someone's got a pirate game arrrrrr	 	 
15	17:18:58:280	ljaybrad123	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		nice :)	 	 
16	17:19:07:839	ljaybrad123	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		i was tempted to hit games hub tomorrow	 	 
17	17:19:23:021	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		good place	 	 
18	17:19:38:140	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		I went there with a friend the first time a couple of weeks back	 	 
19	17:20:00:662	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		we played metro and some temple/treasure-finding game I can't remember the name of	 	 
20	17:20:22:503	ljaybrad123	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		nice	 	 
21	17:23:17:306	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		just innis to come	 	 
22	17:23:24:150	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		he was one roll away from winning the last game, harsh	 	 
23	17:24:04:095	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Hey innis!	 	 
24	17:24:11:388	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		grab a seat,& we all ready to go?	 	 
25	17:24:14:301	inca	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Hey all!& Very punctual	 	 
26	17:24:21:596	inca	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Let's go, good luck all	 	 
27	17:24:24:793	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		oh come on	 	 
28	17:24:29:654	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		I've been last all 3 times :P	 	 
29	17:24:39:623	dmm	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		i think last is quite good actually!	 	 
30	17:24:42:192	inca	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		haha, gutted	 	 
31	17:24:48:548	Server	 		dmm built a settlement.	 	 
32	17:24:49:305	Server	 		dmm built a road.	 	 
33	17:24:51:381	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		swap ya ;)	 	 
34	17:24:58:822	ljaybrad123	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		gw4s... you do always sit in blue	 	 
35	17:25:00:999	Server	 		inca built a settlement.	 	 
36	17:25:01:797	dmm	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		you can plan things out better& when you're last	 	 
37	17:25:02:044	Server	 		inca built a road.	 	 
38	17:25:44:301	Server	 		ljaybrad123 built a settlement.	 	 
39	17:25:49:997	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		my lucky seat LJ ;)	 	 
40	17:25:51:773	Server	 		ljaybrad123 built a road.	 	 
41	17:26:20:071	Server	 		gotwood4sheep built a settlement.	 	 
42	17:26:21:224	Server	 		gotwood4sheep built a road.	 	 
43	17:26:24:811	Server	 		gotwood4sheep built a settlement.	 	 
44	17:26:25:986	Server	 		gotwood4sheep built a road.	 	 
45	17:26:30:400	Server	 		ljaybrad123 built a settlement.	 	 
46	17:26:32:657	Server	 		ljaybrad123 built a road.	 	 
47	17:26:46:252	Server	 		inca built a settlement.	 	 
48	17:26:49:312	Server	 		inca built a road.	 	 
49	17:26:58:156	Server	 		dmm built a settlement.	 	 
50	17:26:59:090	Server	 		dmm built a road.	 	 
51	17:27:01:220	Server	 		dmm rolled a 6 and a 6.	 	 
52	17:27:01:228	Server	 		No player gets anything.	 	 
53	17:27:04:553	gotwood4sheep	clay=1; ore=1; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[138,54]; settlements=[139,71]	gl all!	 	 
54	17:27:06:816	Server	 		dmm built a road.	 	 
55	17:27:12:217	Server	 		inca rolled a 5 and a 1.	 	 
56	17:27:12:218	Server	 		gotwood4sheep gets 1 clay. dmm gets 1 clay. ljaybrad123 gets 1 wheat.	 	 
57	17:27:19:348	Server	 		ljaybrad123 rolled a 3 and a 4.	 	 
