ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
0.1	17:01:54:541	inca	 	 	hey, just spectating if you're ok with that	 	 
1	17:06:11:645	dmm	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		no problem!	 	 
2	17:07:41:226	dmm	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		hi!	 	 
3	17:07:53:647	CheshireCatGrin	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Hi to you both :)	 	 
3.1	17:07:57:340	inca	 	 	hey!	 	 
4	17:09:21:306	dmm	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		i'm quite glad niko isn't here yet because i'm not totally ready :P	 	 
5	17:09:38:559	CheshireCatGrin	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		haha	 	 
6	17:09:41:217	dmm	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		making cookies for a bake sale tomorrow	 	 
7	17:10:25:765	CheshireCatGrin	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		That sounds rather pleasant!	 	 
8	17:11:37:922	dmm	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		yeah! i just don't have an awful lot of time	 	 
9	17:11:55:198	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		wassuup	 	 
10	17:11:57:500	dmm	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		hey	 	 
11	17:11:57:929	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		LJ is out :(	 	 
12	17:11:59:558	CheshireCatGrin	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Indeed, you said you were going out later, didn't you?	 	 
13	17:12:00:046	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		good luck all	 	 
14	17:12:04:642	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		may the winner take it all :D	 	 
15	17:12:05:947	dmm	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		can you hold on a little longer :P	 	 
16	17:12:11:688	CheshireCatGrin	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Yep, hi and good luck!	 	 
17	17:12:13:969	dmm	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		i'll be 5-10 minutes	 	 
18	17:12:16:825	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		no worries	 	 
19	17:12:21:229	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		I will need to be gone about 1815	 	 
20	17:12:26:701	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		but 3 players won't take an hour	 	 
21	17:12:47:130	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		hi innis!	 	 
22	17:13:03:835	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		can observers talk?	 	 
22.1	17:13:06:735	inca	 	 	hey! just wanted to watch the exciting finale	 	 
23	17:13:10:236	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		this is very un assembly ;)	 	 
24	17:13:18:047	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		grats on the last game	 	 
24.1	17:13:18:638	inca	 	 	yep, i'll try to keep quiet though during the game!	 	 
24.2	17:13:21:150	inca	 	 	cheers	 	 
25	17:13:23:639	gotwood4sheep	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		kibitz away :D	 	 
