ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
1	14:59:54:145	intemporaliter	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Hello?	 	 
2	15:01:09:582	Server	 		intemporaliter built a settlement.	 	 
3	15:01:12:367	keyser84	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		hi	 	 
4	15:01:14:711	Server	 		intemporaliter built a road.	 	 
5	15:01:50:354	keyser84	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		i actually tried to figure out how to add AI players to the game....	 	 
6	15:01:58:073	intemporaliter	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Figured I should check out how the interface works...	 	 
7	15:02:35:574	intemporaliter	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Initially I got a message saying 'this server has no bots' (possibly paraphrased...)	 	 
8	15:03:35:881	intemporaliter	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Place your first settlement?	 	 
9	15:03:43:272	keyser84	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		yes, I know	 	 
10	15:03:48:112	intemporaliter	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Sorry.	 	 
11	15:03:59:661	keyser84	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		but I will prob. suffer a lack of wood	 	 
12	15:04:08:418	keyser84	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		sry, I should be faster	 	 
13	15:04:17:506	intemporaliter	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		No hurry :-)	 	 
14	15:04:35:172	Server	 		keyser84 built a settlement.	 	 
15	15:04:41:203	Server	 		keyser84 built a road.	 	 
16	15:04:58:630	keyser84	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		ok, now vice versa, so me again	 	 
17	15:05:04:248	intemporaliter	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Aye.	 	 
18	15:05:14:693	Server	 		keyser84 built a settlement.	 	 
19	15:05:17:712	Server	 		keyser84 built a road.	 	 
20	15:05:59:836	Server	 		intemporaliter built a settlement.	 	 
21	15:06:03:986	Server	 		intemporaliter built a road.	 	 
22	15:06:09:281	Server	 		intemporaliter rolled a 4 and a 2.	 	 
23	15:06:09:288	Server	 		intemporaliter gets 1 wheat.	 	 
24	15:06:32:878	intemporaliter	clay=0; ore=1; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[154,52]; settlements=[154,52]	Possibly not my greatest ever play, but my other choice was between your two settlements .	 	 
